accel_mean,accel_std,accel_peak,accel_energy,accel_jerk_mean,accel_jerk_peak,gravity_deviation,accel_iqr,accel_skewness,accel_kurtosis,gyro_mean,gyro_std,gyro_peak,gyro_energy,gyro_jerk_mean,gyro_jerk_peak,gyro_iqr,gyro_variance,combined_intensity,phone_shake,impact_force,accel_gyro_correlation,sma,dynamic_accel,zero_crossings,signal_entropy,dominant_freq_accel,dominant_freq_gyro,scenario,label
9.69871,0.25174,10.45116,94.12837,0.26273,0.83851,0.11129,0.32005,0.61566,0.21155,0.23211,0.09746,0.48884,0.06337,0.09597,0.31992,0.13202,0.0095,2.25114,0.15614,0.64116,-0.00462,10.04604,0.22584,19.0,-1.81397,24.0,9.0,standing_still,0
20.68871,7.30279,36.76117,481.35336,9.2178,25.74031,10.87871,11.71997,-0.23769,-0.76947,17.17311,3.61929,24.23771,308.01505,3.9145,11.99736,4.26189,13.09927,355.28946,146.52283,26.95117,0.03989,30.28708,11.25045,28.0,1.49515,12.0,16.0,sudden_fall_push,1
31.03782,6.35073,45.60889,1003.67804,7.25409,21.19736,21.22782,7.41588,-0.07867,-0.37806,19.15314,5.53487,32.1996,397.47763,6.26243,21.21595,7.39719,30.63477,594.4718,156.21581,35.79889,-0.14597,47.25471,21.22782,26.0,1.58006,15.0,23.0,forced_into_vehicle,1
9.79543,0.18359,10.164,95.98421,0.21495,0.71394,0.01457,0.32319,-0.02506,-0.9399,0.18983,0.07057,0.36397,0.04101,0.08981,0.23529,0.10589,0.00498,1.85943,0.09175,0.354,-0.19761,10.08783,0.15715,29.0,-8.49302,6.0,19.0,sitting_still,0
11.7433,3.4892,20.26325,237.98407,4.12383,12.98246,6.32001,3.92175,0.31266,-0.04156,4.52398,1.56682,8.01831,46.42694,1.72785,5.88716,1.87338,4.18168,95.44181,38.11515,10.45325,-0.00063,15.5231,6.60202,28.21329,2.63084,21.93353,12.78671,synthetic_hard_negative,0
9.54433,1.3514,12.19893,93.45374,1.42791,4.82905,0.71338,1.93229,-0.30502,-0.50581,1.93008,0.83233,4.53089,4.72167,0.98865,3.3202,1.01336,0.73263,18.7734,5.11767,2.38893,-0.02557,11.72108,1.21742,21.8481,4.0214,21.09177,11.60444,synthetic_hard_negative,0
11.33572,4.43885,20.81383,148.20195,5.64804,15.37313,1.52572,6.30826,0.28592,-0.78986,9.33719,4.02262,20.98247,103.36455,3.96043,10.87307,5.45938,16.18146,105.84376,57.78571,11.00383,-0.13233,17.40014,3.78154,26.0,2.26211,19.0,6.0,struggle_restrained,1
9.41266,0.2483,9.89077,88.65984,0.29315,0.78946,0.39734,0.34758,-0.27,-0.70055,0.2071,0.07507,0.38001,0.04853,0.09488,0.28059,0.09269,0.00564,1.94936,0.16537,0.08077,-0.08097,9.7656,0.40057,26.0,-1.26748,12.0,19.0,standing_still,0
10.07709,0.18312,10.40605,101.58133,0.2044,0.67875,0.26709,0.25579,-0.61729,-0.06088,0.22218,0.09242,0.5348,0.0579,0.10107,0.35638,0.1105,0.00854,2.23888,0.12228,0.59605,0.16701,10.45912,0.28659,21.0,-7.20501,9.0,7.0,standing_still,0
9.88323,0.18465,10.29889,97.71227,0.2124,0.67618,0.07323,0.24947,0.39071,-0.49168,0.12943,0.05527,0.26625,0.01981,0.06906,0.19136,0.07537,0.00306,1.27916,0.06761,0.48889,0.0967,10.1385,0.15041,23.0,-7.31245,15.0,25.0,lying_down,0
13.97329,1.21339,16.6007,196.72511,1.54511,5.89968,4.16329,1.53303,-0.00679,0.13993,1.38894,0.64824,3.29855,2.34937,0.67548,2.58476,0.66933,0.42022,19.40807,2.75551,6.7907,-0.09786,16.69444,4.16329,28.0,3.55453,25.0,12.0,normal_walking,0
8.24495,1.50052,11.08631,70.2308,1.56086,6.03406,1.56505,1.93813,-0.14393,-0.2871,7.24511,2.8233,14.3977,60.46261,3.38602,8.80733,3.43001,7.971,59.73558,7.52933,1.27631,-0.00924,10.58443,1.80418,20.0,3.9354,1.0,13.0,trembling_fear,1
7.69854,2.74948,13.30459,66.82715,3.14902,10.22027,2.11146,3.94689,0.11517,-0.69794,3.06074,1.11632,5.35309,10.6143,1.47564,3.93287,1.75974,1.24617,23.56322,14.25492,3.49459,-0.07902,10.30394,2.88328,21.0,2.99102,25.0,22.0,normal_jogging,0
12.5262,3.59527,20.42575,169.83163,4.06211,13.27227,2.7162,4.97148,0.07572,-0.23006,5.42466,2.26157,9.58324,34.54166,2.2995,6.62912,3.03866,5.11472,67.95036,48.85011,10.61575,0.08413,19.58149,3.59403,25.0,2.32676,7.0,14.0,escape_running,1
23.25337,5.27522,34.97039,568.5473,5.28304,17.10985,13.44337,7.91972,0.24896,-0.66124,16.8721,5.5927,33.60008,315.94592,6.08914,17.93274,8.47469,31.27831,392.33319,98.78721,25.16039,0.03068,37.55342,13.44337,15.0,1.98241,10.0,3.0,physical_attack,1
